;;;;K:\Media\Brenda Lee - I'm Sorry.avi;;AVI;Audio Video Interleave;;;;;;;;;;;133 MiB;37 min 57 s;;;;490 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;MPEG-4 Visual;;;;;;;;;;1;No;No warppoints;Default (H.263);;;;;;;;Packed bitstream;DX50;;;DivX 5;;37 min 57 s;;;;;;;414 kb/s;;4 854 kb/s;;;320 pixels;;;240 pixels;;;4:3;;;;;;;30.000 FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;Lossy;;0.180;;;;;;;112 MiB (85%);;;;;Video ;;DivX 6.8.0 Converter 6.6;;;;;;;;;;;;;;;;;;1;;;;MPEG Audio;;;Version 2;Layer 3;;;Dual mono;;;;;;;;;;;;;55;;;MP3;;37 min 57 s;;;;;;Constant;64.0 kb/s;;;;;2 channels;;;;;22.05 kHz;;;;;Lossy;;;;;17.4 MiB (13%);;;;Split accross interleaves;33  ms (1.00 video frame);500  ms;Audio ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Brook Benton & Dinah Washington - Baby (You Got What It Takes).mp4;;MPEG-4;;;;Base Media / Version 2;;;;mp42 (isom/iso2/avc1/mp41);;;;266 MiB;30 min 30 s;;;Variable;1 218 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UTC 2017-01-31 00:24:06;UTC 2017-01-31 00:24:06;;;;;;HandBrake 1.0.2 2017012200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;AVC;Advanced Video Codec;;;High@L4;;;;;;;;;;Yes;8 frames;;;;;;;avc1;;Advanced Video Coding;;;30 min 30 s;;;;;;;1 081 kb/s;;;;;960 pixels;;;540 pixels;;;16:9;;;;;Constant;;29.970 (30000/1001) FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;;;0.070;;;;;;;236 MiB (89%);;;;;;;x264 core 148 r2708 86b7198;cabac=1 / ref=8 / deblock=1:0:0 / analyse=0x3:0x133 / me=umh / subme=9 / psy=1 / psy_rd=1.00:0.00 / mixed_ref=1 / me_range=16 / chroma_me=1 / trellis=2 / 8x8dct=1 / cqm=0 / deadzone=21,11 / fast_pskip=1 / chroma_qp_offset=-2 / threads=17 / lookahead_threads=1 / sliced_threads=0 / nr=0 / decimate=1 / interlaced=0 / bluray_compat=0 / constrained_intra=0 / bframes=3 / b_pyramid=2 / b_adapt=2 / b_bias=0 / direct=3 / weightb=1 / open_gop=0 / weightp=2 / keyint=300 / keyint_min=30 / scenecut=40 / intra_refresh=0 / rc_lookahead=60 / rc=crf / mbtree=1 / crf=23.0 / qcomp=0.60 / qpmin=0 / qpmax=69 / qpstep=4 / vbv_maxrate=25000 / vbv_bufsize=31250 / crf_max=0.0 / nal_hrd=none / filler=0 / ip_ratio=1.40 / aq=1:1.00;;;;;;;UTC 2017-01-31 00:24:06;UTC 2017-01-31 00:24:06;;Limited;BT.709;BT.709;BT.709;;;;2;;;;AAC;Advanced Audio Codec;;;LC;;;;;;;;;;;;;;;;40;;;;;30 min 30 s;;;;;;Variable;132 kb/s;;;;;2 channels;;;Front: L R;;48.0 kHz;46.875 FPS (1024 spf);;;;Lossy;;;;;28.4 MiB (11%);;;;;;;Stereo / Stereo;;;;;;;Yes;;1;UTC 2017-01-31 00:24:06;UTC 2017-01-31 00:24:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Bruce Channel - Hey! Baby.mpg;;MPEG-PS;;;;;;;;;;;;195 MiB;20 min 1 s;;;Constant;1 363 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224 (0xE0);;;;MPEG Video;;;Version 1;;;;;;;Yes;;;Custom;;;;;Variable;;;;;;;;;20 min 1 s;;;;;;Constant;1 150 kb/s;;;;;320 pixels;;;240 pixels;;;4:3;;;;;;;29.970 (30000/1001) FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;Lossy;;0.500;;00:00:00:00;;Group of pictures header;;;164 MiB (84%);;;;;;;;;;;;;;;;;;;;;;;;;192 (0xC0);;;;MPEG Audio;;;Version 1;Layer 2;;;;;;;;;;;;;;;;;;;;;20 min 1 s;;;;;;Constant;192 kb/s;;;;;2 channels;;;;;44.1 kHz;;;;;Lossy;;-67 ms;;;27.5 MiB (14%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Elvis Presley - It's Now Or Never.flv;;Flash Video;;;;;;;;;;;;31.4 MiB;10 min 39 s;;;;413 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UTC 2015-06-28 13:46:18;;;;;;Lavf54.6.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVC;Advanced Video Codec;;;High@L3;;;;;;;;;;Yes;5 frames;;;;;;;7;;;;;10 min 39 s;;;;;;;400 kb/s;;;;;544 pixels;;;408 pixels;;;4:3;;;;;Constant;;25.000 FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;;;0.072;;;;;;;30.5 MiB (97%);;;;;;;x264 core 124;cabac=1 / ref=5 / deblock=1:-1:-1 / analyse=0x3:0x113 / me=umh / subme=8 / psy=1 / psy_rd=1.00:0.15 / mixed_ref=1 / me_range=16 / chroma_me=1 / trellis=1 / 8x8dct=1 / cqm=0 / deadzone=21,11 / fast_pskip=1 / chroma_qp_offset=-3 / threads=4 / sliced_threads=0 / nr=0 / decimate=1 / interlaced=0 / bluray_compat=0 / constrained_intra=0 / bframes=3 / b_pyramid=2 / b_adapt=2 / b_bias=0 / direct=3 / weightb=1 / open_gop=0 / weightp=2 / keyint=25 / keyint_min=2 / scenecut=40 / intra_refresh=0 / rc_lookahead=25 / rc=abr / mbtree=1 / bitrate=400 / ratetol=1.0 / qcomp=0.60 / qpmin=2 / qpmax=50 / qpstep=4 / ip_ratio=1.40 / aq=1:1.00;;;;;;;;;;;;;;;;;;;;;AAC;Advanced Audio Codec;;;LC;;;;;;;;;;;;;;;;10;;;;;10 min 38 s;;;;;;;93.8 kb/s;;;;;2 channels;;;Front: L R;;44.1 kHz;43.066 FPS (1024 spf);;;;Lossy;;57 ms;;;296 KiB (1%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Jewel Aikens - The Birds And The Bees.wmv;;Windows Media;;;;;;;;;;;;458 MiB;23 min 48 s;;;;2 689 kb/s;;;4 015 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UTC 1970-01-01 00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;WMV2;;;;;;;;;;;;;;;;;;;;;;WMV2;;Windows Media Video 8;;wmv2;23 min 48 s;;;;;;;2 446 kb/s;;;;;720 pixels;;;480 pixels;;;3:2;;;;;;;23.976 FPS;;;;;;;;8 bits;;;;;;;;;0.295;;;;;;;416 MiB (91%);;;;;;;;;;;;;;;;;;;;;;;;;2;;;;WMA;;;Version 2;;;;;;;;;;;;;;;;;161;;Windows Media Audio;;Windows Media Audio V8;23 min 48 s;;;;;;;128 kb/s;;;;;2 channels;;;;;44.1 kHz;;16 bits;;;;;;;;21.8 MiB (5%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Little Eva - The Loco-Motion.mov;;MPEG-4;;;;QuickTime;;;;qt   2005.03 (qt  );;;;281 MiB;22 min 45 s;;;;1 727 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UTC 2013-03-16 20:11:36;UTC 2013-03-16 20:59:34;;;;;;;Apple QuickTime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;AVC;Advanced Video Codec;;;Main@L3;;;;;;;;;;No;2 frames;;;M=2, N=24;;;;avc1;;Advanced Video Coding;;;22 min 45 s;;;;;;;1 597 kb/s;;;;;800 pixels;;;450 pixels;;;16:9;;;;;Constant;;25.000 FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;;;0.177;;;;;;;260 MiB (92%);;;;;;;;;English;;;;;;UTC 2013-03-16 20:58:28;UTC 2013-03-16 20:59:34;;Limited;BT.601 NTSC;BT.709;BT.601;;;;2;;;;AAC;Advanced Audio Codec;;;LC;;;;;;;;;;;;;;;;40;;;;;22 min 45 s;;;22 min 45 s;;;Constant;128 kb/s;;;;;2 channels;;;Front: L R;;48.0 kHz;46.875 FPS (1024 spf);;;;Lossy;;;;;20.5 MiB (7%);20.5 MiB (7%);;;;;;;;;;English;;;;;;UTC 2013-03-16 20:58:28;UTC 2013-03-16 20:59:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Mr. Acker Bilk - Stranger On The Shore.mp4;;MPEG-4;;;;Base Media / Version 2;;;;mp42 (mp42);;;;3.13 GiB;5 h 9 min;;;;1 450 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;codirector;;;;;;;;;;;;;;;;;;;;;;;studio;;;;;;;;Unknown Type;;;;;;;;;;;;;UTC 2016-02-04 12:03:19;UTC 2016-02-04 12:03:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;AVC;Advanced Video Codec;;;Baseline@L3;;;;;;;;;;No;1 frame;;;M=1, N=25;;;Container profile=Baseline@4.1;avc1;;Advanced Video Coding;;;5 h 9 min;;;;;;;1 253 kb/s;;;;;1 280 pixels;;;720 pixels;;;16:9;;;;;Constant;;24.000 FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;;;0.057;;;;;;;2.71 GiB (86%);;;;;;;;;English;;;;;;;;;;;;;;;;2;;;;AAC;Advanced Audio Codec;;;LC;;;;;;;;;;;;;;;;40;;;;;5 h 9 min;;;;;;Constant;192 kb/s;;;;;2 channels;;;Front: L R;;48.0 kHz;46.875 FPS (1024 spf);;;;Lossy;;;;;425 MiB (13%);;;;;;;Stereo;;;;English;;;Yes;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Percy Faith - Theme From A Summer Place.asf;;Windows Media;;;;;;;;;;;;93.5 MiB;6 min 14 s;;;Constant;2 095 kb/s;;;2 116 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UTC 2007-07-01 18:41:49.843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;VC-1;;;;Main;;;;;;;;;;;;;;;;;;WMV3;;Windows Media Video 9;WMV3;;6 min 14 s;;;;;;Constant;2 000 kb/s;;;;;720 pixels;;;528 pixels;;;4:3;;;;;;;29.970 (29970/1000) FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;Lossy;;0.176;;;;;;;89.2 MiB (95%);;;;;;;;;English;;;;;;;;;;;;;;;;1;;;;WMA;;;Version 2;;;;;;;;;;;;;;;;;161;;Windows Media Audio;;;6 min 14 s;;;;;;Constant;96.0 kb/s;;;;;2 channels;;;;;44.1 kHz;;16 bits;;;;;;;;4.29 MiB (5%);;;;;;;;;;;English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Platters - Harbor Lights.mp4;;MPEG-4;;;;Base Media / Version 2;;;;mp42 (isom/iso2/mp41);;;;1.82 GiB;1 h 22 min;;;Variable;3 168 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UTC 2016-09-08 13:54:21;UTC 2016-09-08 13:54:21;;;;;;HandBrake 0.10.5 2016021100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;HEVC;High Efficiency Video Coding;;;Main@L4@Main;;;;;;;;;;;;;;;;;;hev1;;High Efficiency Video Coding;;;1 h 22 min;;;;;;;3 001 kb/s;;;;;1 920 pixels;;;1 080 pixels;;;16:9;;;;;Variable;;29.970 (30000/1001) FPS;14.985 FPS;;30.000 FPS;;;YUV;4:2:0;8 bits;;;;;;;;;0.048;;;;;;;1.73 GiB (95%);;;;;;;x265 1.9:[Windows][GCC 4.9.0][64 bit] 8bit;wpp / ctu=64 / min-cu-size=8 / max-tu-size=32 / tu-intra-depth=1 / tu-inter-depth=1 / me=1 / subme=2 / merange=57 / no-rect / no-amp / max-merge=2 / temporal-mvp / no-early-skip / rdpenalty=0 / no-tskip / no-tskip-fast / strong-intra-smoothing / no-lossless / no-cu-lossless / no-constrained-intra / no-fast-intra / open-gop / no-temporal-layers / interlace=0 / keyint=300 / min-keyint=30 / scenecut=40 / rc-lookahead=20 / lookahead-slices=6 / bframes=4 / bframe-bias=0 / b-adapt=2 / ref=3 / limit-refs=3 / no-limit-modes / weightp / no-weightb / aq-mode=1 / qg-size=32 / aq-strength=1.00 / cbqpoffs=0 / crqpoffs=0 / rd=3 / psy-rd=2.00 / rdoq-level=0 / psy-rdoq=0.00 / signhide / deblock / sao / no-sao-non-deblock / b-pyramid / cutree / no-intra-refresh / rc=2 / pass / bitrate=3000 / qcomp=0.60 / qpmin=0 / qpmax=51 / qpstep=4 / cplxblur=20.0 / qblur=0.5 / ipratio=1.40 / pbratio=1.30;;;;;;;UTC 2016-09-08 13:54:21;UTC 2016-09-08 13:54:21;;Limited;BT.709;BT.709;BT.709;;;;2;;;;AAC;Advanced Audio Codec;;;LC;;;;;;;;;;;;;;;;40;;;;;1 h 22 min;;;;;;Variable;160 kb/s;;;;;2 channels;;;Front: L R;;48.0 kHz;46.875 FPS (1024 spf);;;;Lossy;;;;;94.5 MiB (5%);;;;;;;Stereo / Stereo;;;;English;;;Yes;;1;UTC 2016-09-08 13:54:21;UTC 2016-09-08 13:54:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;K:\Media\Sam The Sham and The Pharaohs - Wooly Bully.wmv;;Windows Media;;;;;;;;;;;;72.8 MiB;12 min 51 s;;;Variable;791 kb/s;;;1 503 kb/s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2004;UTC 2004-10-29 05:44:25.718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;VC-1;;;;MP@ML;;;;;;;;;;;;;;;;;;WMV3;;Windows Media Video 9;WMV3;Windows Media Video 9;12 min 51 s;;;;;;Variable;748 kb/s;;;;;450 pixels;;;300 pixels;;;3:2;;;;;;;29.970 (29970/1000) FPS;;;;;;YUV;4:2:0;8 bits;Progressive;;;;;;Lossy;;0.185;;;;;;;68.8 MiB (95%);;;;;;;;;English (United States);;;;;;;;;;;;;;;;1;;;;WMA;;;Version 2;;;;;;;;;;;;;;;;;161;;Windows Media Audio;;Windows Media Audio 9 -  22 kbps, 22 kHz, stereo 2-pass CBR;12 min 51 s;;;;;;Constant;22.0 kb/s;;;;;2 channels;;;;;22.05 kHz;;16 bits;;;;;;;;2.02 MiB (3%);;;;;;;;;;;English (United States);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;